ele,,,,,,,,,,,,,
,chain,,,,,,,,,,,,
,0,3,0,3,2,3,2,1,3,1,1,19,
,1,2,2,0,2,2,3,2,4,3,1,22,
,5,2,3,3,5,2,20,,,,,,
,2.346153846,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,0,0,0,0,0,0,1,1,0,0,0,,
,0,0,0,0,0,0,0,0,0,0,0,,
,0.1,,,,,,,,,,,,
,,,,,,,,,,,,,
sec,,,,,,,,,,,,,
,chain,7,6,6,5,5,5,6,3,5,3,4,55
,,10,6,8,10,7,7,7,7,8,9,6,85
,,7,,,,,,,,,,,
,,3,2,6,1,6,4,2,7,4,2,2,39
,,3,2,2,4,3,6,2,5,3,2,3,35
,,3.7,,,,,,,,,,,
